"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",3.77500000000001,262.3,283
"3","leduc<-leducSCR(leduc)",5.00900000000001,26.2,216.4
"4","leduc<-leducScSums(leduc)",4.50299999999999,-39,203.6
"5","leduc<-leducNormToRef(leduc)",8.797,0.100000000000136,36.1000000000001
"6","leduc<-leducAggPSM(leduc)",86.918,10.8999999999999,116.6
"7","leduc<-leducConsensus(leduc,assaysNames)",5.34800000000001,0.100000000000136,64.5
"8","leduc<-leducMissingData(leduc,assaysNames)",15.521,0,47.8999999999999
"9","leduc<-leducJoin(leduc,assaysNames)",7.06600000000003,51.8,265.5
"10","leduc<-leducNormPep(leduc)",1.87899999999996,95.3999999999999,546.1
"11","leduc<-leducFilteringNA(leduc)",3.48699999999997,1.60000000000014,453.4
"12","leduc<-leducLogTransfo(leduc)",0.682999999999993,47.3,130.3
"13","leduc<-leducAggPep(leduc)",2.67500000000001,21.8,242.9
"14","leduc<-leducNormPro(leduc)",1.57900000000001,21.4000000000001,165.3
"15","leduc<-leducImpute(leduc)",34.013,-157.2,1147.9
"16","leduc<-leducBatch(leduc)",1.33699999999999,10.9000000000001,97.9000000000001
"17","leduc<-leducNormBatch(leduc)",1.66000000000003,21.3999999999999,175.9
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.10899999999998,0,69.2
